locus_tag,gene,product,bp_length
PRJBM_RS00005,,kinase/pyrophosphorylase,825
PRJBM_RS00010,,Maf family nucleotide pyrophosphatase,597
PRJBM_RS00015,,shikimate dehydrogenase,882
PRJBM_RS00020,coaE,dephospho-CoA kinase,588
PRJBM_RS00025,dnaQ,DNA polymerase III subunit epsilon,708
PRJBM_RS00030,polA,DNA polymerase I,2907
PRJBM_RS00035,,endonuclease/exonuclease/phosphatase family protein,861
PRJBM_RS00040,,Bax inhibitor-1/YccA family protein,774
PRJBM_RS00045,,MFS transporter,1842
PRJBM_RS00050,lspA,signal peptidase II,492
PRJBM_RS00055,,RNA methyltransferase,849
PRJBM_RS00060,,class I SAM-dependent methyltransferase,933
PRJBM_RS00065,,LapA family protein,297
PRJBM_RS00070,ihfB,integration host factor subunit beta,279
PRJBM_RS00075,,hypothetical protein,651
PRJBM_RS00080,,organic solvent tolerance protein OstA,609
PRJBM_RS00085,lptB,LPS export ABC transporter ATP-binding protein,795
PRJBM_RS00090,,hypothetical protein,192
PRJBM_RS00095,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,465
PRJBM_RS00100,,invasion associated locus B family protein,504
PRJBM_RS00105,rlmN,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,1227
PRJBM_RS00110,,LysE family translocator,639
PRJBM_RS09270,,argininosuccinate synthase,282
PRJBM_RS00120,,lysine--tRNA ligase,1662
PRJBM_RS00125,,peptide chain release factor 3,1578
PRJBM_RS00130,trxA,thioredoxin,324
PRJBM_RS00135,addA,double-strand break repair helicase AddA,3483
PRJBM_RS00140,addB,double-strand break repair protein AddB,3123
PRJBM_RS09275,tsaE,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,1478
PRJBM_RS00160,,PAS domain-containing sensor histidine kinase,2466
PRJBM_RS00165,ahcY,adenosylhomocysteinase,1398
PRJBM_RS00170,,complex I NDUFA9 subunit family protein,999
PRJBM_RS00175,,bifunctional folylpolyglutamate synthase/dihydrofolate synthase,1320
PRJBM_RS00180,accD,"acetyl-CoA carboxylase, carboxyltransferase subunit beta",921
PRJBM_RS09280,,hypothetical protein,189
PRJBM_RS00185,,sulfate transporter family protein,720
PRJBM_RS00190,coaBC,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,1413
PRJBM_RS00195,ubiB,2-polyprenylphenol 6-hydroxylase,1587
PRJBM_RS00200,ubiE,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",783
PRJBM_RS00205,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,2433
PRJBM_RS00210,,transporter substrate-binding domain-containing protein,870
PRJBM_RS00215,,YifB family Mg chelatase-like AAA ATPase,1533
PRJBM_RS00220,,autotransporter assembly complex protein TamA,1962
PRJBM_RS00225,,translocation/assembly module TamB domain-containing protein,4647
PRJBM_RS00230,,ABC transporter ATP-binding protein/permease,1767
PRJBM_RS00235,infC,translation initiation factor IF-3,519
PRJBM_RS00240,,alpha/beta hydrolase,780
PRJBM_RS00245,,M48 family metallopeptidase,747
PRJBM_RS00250,dapE,succinyl-diaminopimelate desuccinylase,1173
PRJBM_RS00255,hemW,radical SAM family heme chaperone HemW,1200
PRJBM_RS00260,rdgB,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,648
PRJBM_RS00265,hrcA,heat-inducible transcriptional repressor HrcA,1071
PRJBM_RS00270,grpE,nucleotide exchange factor GrpE,663
PRJBM_RS00275,thpR,"RNA 2',3'-cyclic phosphodiesterase",540
PRJBM_RS00280,,HPr family phosphocarrier protein,300
PRJBM_RS00285,,PTS sugar transporter subunit IIA,399
PRJBM_RS00290,,HPr kinase/phosphatase C-terminal domain-containing protein,465
PRJBM_RS00295,,sensor histidine kinase,1785
PRJBM_RS00300,,response regulator transcription factor,723
PRJBM_RS00305,lysM,peptidoglycan-binding protein LysM,456
PRJBM_RS00310,,copper chaperone PCu(A)C,561
PRJBM_RS00315,dnaK,molecular chaperone DnaK,1893
PRJBM_RS00320,dnaJ,molecular chaperone DnaJ,1149
PRJBM_RS00330,argB,acetylglutamate kinase,906
PRJBM_RS00335,,DMT family transporter,909
PRJBM_RS00340,lepA,translation elongation factor 4,1806
PRJBM_RS00345,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",849
PRJBM_RS00350,,LOG family protein,864
PRJBM_RS00355,truA,tRNA pseudouridine(38-40) synthase TruA,744
PRJBM_RS00360,fmt,methionyl-tRNA formyltransferase,936
